path	original	line	comment
ACTIONFAIL.APPRAISE.NOTNOW	本太子忙着呢。	7	暂无注释
ACTIONFAIL.REPAIR.WRONGPIECE	那不对。	11	化石骨架拼接错误
ACTIONFAIL.BUILD.MOUNTED	放不下。	15	建造失败（骑乘状态）
ACTIONFAIL.BUILD.HASPET	本太子已经有一只宠物了。	16	建造失败（已经有一个宠物了）
ACTIONFAIL.BUILD.TICOON	本太子眼里根本没别人。	17	暂无注释
ACTIONFAIL.SHAVE.AWAKEBEEFALO	本太子不会在他醒着时去弄。	21	给醒着的牛刮毛
ACTIONFAIL.SHAVE.GENERIC	本太子不会给那个剃毛。	22	刮牛毛失败
ACTIONFAIL.SHAVE.NOBITS	没有办法再给它刮毛了。	23	给没毛的牛刮毛
ACTIONFAIL.SHAVE.SOMEONEELSESBEEFALO	本太子才不薅别人家皮弗娄牛的毛！	25	暂无注释
ACTIONFAIL.STORE.GENERIC	装满了。	29	存放东西失败
ACTIONFAIL.STORE.NOTALLOWED	这东西不能装进那里。	30	存放东西--不被允许
ACTIONFAIL.STORE.INUSE	该轮到本太子来用了。	31	别人正在用箱子
ACTIONFAIL.STORE.NOTMASTERCHEF	本太子不需要做这些。	32	暂无注释
ACTIONFAIL.CONSTRUCT.INUSE	居然有人抢先了。	36	建筑正在使用
ACTIONFAIL.CONSTRUCT.NOTALLOWED	不对。	37	建筑不允许使用
ACTIONFAIL.CONSTRUCT.EMPTY	本太子需要一些建造材料。	38	建筑空了
ACTIONFAIL.CONSTRUCT.MISMATCH	这不对。	39	升级套件错误（目前用不到）
ACTIONFAIL.CONSTRUCT.NOTREADY	情况稳定下来之后它可能会出现。	40	暂无注释
ACTIONFAIL.RUMMAGE.GENERIC	本太子不能那么做。	44	打开箱子失败
ACTIONFAIL.RUMMAGE.INUSE	他们在垃圾里埋头寻找。	45	打开箱子 正在使用
ACTIONFAIL.RUMMAGE.NOTMASTERCHEF	本太子不需要做这些。	46	暂无注释
ACTIONFAIL.UNLOCK.WRONGKEY	本太子做不到。	50	暂无注释
ACTIONFAIL.USEKLAUSSACKKEY.WRONGKEY	那不对。	54	使用克劳斯钥匙
ACTIONFAIL.USEKLAUSSACKKEY.KLAUS	本太子有点忙！！	55	克劳斯
ACTIONFAIL.ACTIVATE.LOCKED_GATE	大门锁上了。	59	远古钥匙
