path	original	line	comment
ACTIONFAIL.APPRAISE.NOTNOW	此刻不宜叨扰。	7	暂无注释
ACTIONFAIL.REPAIR.WRONGPIECE	何处出了纰漏。	11	化石骨架拼接错误
ACTIONFAIL.BUILD.MOUNTED	无处可放了。	15	建造失败（骑乘状态）
ACTIONFAIL.BUILD.HASPET	吾已有一只。	16	建造失败（已经有一个宠物了）
ACTIONFAIL.BUILD.TICOON	吾目别无他物。	17	暂无注释
ACTIONFAIL.SHAVE.AWAKEBEEFALO	待其入眠再来。	21	给醒着的牛刮毛
ACTIONFAIL.SHAVE.GENERIC	其怒矣。	22	刮牛毛失败
ACTIONFAIL.SHAVE.NOBITS	已无从下手。	23	给没毛的牛刮毛
ACTIONFAIL.SHAVE.SOMEONEELSESBEEFALO	当安抚其心。	25	暂无注释
ACTIONFAIL.STORE.GENERIC	已满。	29	存放东西失败
ACTIONFAIL.STORE.NOTALLOWED	此物不入彼处。	30	存放东西--不被允许
ACTIONFAIL.STORE.INUSE	且待片刻。	31	别人正在用箱子
ACTIONFAIL.STORE.NOTMASTERCHEF	吾力不逮。	32	暂无注释
ACTIONFAIL.CONSTRUCT.INUSE	或可稍候。	36	建筑正在使用
ACTIONFAIL.CONSTRUCT.NOTALLOWED	此乃何故？	37	建筑不允许使用
ACTIONFAIL.CONSTRUCT.EMPTY	当再寻些灵物来。	38	建筑空了
ACTIONFAIL.CONSTRUCT.MISMATCH	问题何在？	39	升级套件错误（目前用不到）
ACTIONFAIL.CONSTRUCT.NOTREADY	稍后再来探看。	40	暂无注释
ACTIONFAIL.RUMMAGE.GENERIC	不可为之。	44	打开箱子失败
ACTIONFAIL.RUMMAGE.INUSE	可容吾一观？	45	打开箱子 正在使用
ACTIONFAIL.RUMMAGE.NOTMASTERCHEF	吾无需为此。	46	暂无注释
ACTIONFAIL.UNLOCK.WRONGKEY	吾力不逮。	50	暂无注释
ACTIONFAIL.USEKLAUSSACKKEY.WRONGKEY	非也。	54	使用克劳斯钥匙
ACTIONFAIL.USEKLAUSSACKKEY.KLAUS	吾正繁忙。	55	克劳斯
ACTIONFAIL.ACTIVATE.LOCKED_GATE	门扉已锁。	59	远古钥匙
ACTIONFAIL.ACTIVATE.HOSTBUSY	彼正忙碌。	60	暂无注释
ACTIONFAIL.ACTIVATE.CARNIVAL_HOST_HERE	其便在近处。	61	暂无注释
ACTIONFAIL.ACTIVATE.NOCARNIVAL	皆已飞去。	62	暂无注释
ACTIONFAIL.ACTIVATE.EMPTY_CATCOONDEN	本以为内有诸多灵物。	63	暂无注释
