MOD1.STRINGS.NAMES.XD_ZIYUNNPC_TALKS.1	何方道友前来，可否助本尊斩断心之魔相？
MOD1.STRINGS.NAMES.XD_ZIYUNNPC_TALKS.2	小友可否帮本君击败失控的化身，本君必予以重谢！
MOD1.STRINGS.NAMES.XD_ZIYUNNPC_TALKS.3	多谢小友，这是本君一点绵薄的谢礼。
MOD1.STRINGS.NAMES.XD_ZIYUNNPC_TALKS.4	闲步之时莫打扰本君。
MOD1.STRINGS.NAMES.XD_ZIYUNNPC_TALKS.5	心底的魔念越来越难以压制了。
MOD1.STRINGS.NAMES.XD_ZIYUNNPC_TALKS.6	以本君的手段也镇压不了这遮天之鲲鹏。
MOD1.STRINGS.NAMES.XD_QXDX_TALKS.1	小友竟然拿天地精华，行糟粕之事！
MOD1.STRINGS.NAMES.XD_QXDX_TALKS.2	小友老夫这或许有些你需要的丹药
MOD1.STRINGS.NAMES.XD_QXDX_TALKS.3	感谢小友惠顾
MOD1.STRINGS.NAMES.XD_QXDX_TALKS.4	小友你的灵石似乎不够呀
MOD1.STRINGS.NAMES.XD_QXDX_TALKS.5	大道如渊，入口一线。老夫今日，便以身为筏，再争这一线之机！
MOD1.STRINGS.NAMES.XD_ZIYUNBOSS_TALKS.1	有几分实力，用本君的玄宝来试试你的斤两。
MOD1.STRINGS.NAMES.XD_ZIYUNBOSS_TALKS.2	能把本君逼到这个境地，确是个惊才绝艳之辈。
MOD1.STRINGS.NAMES.XD_ZIYUNBOSS_TALKS.3	本君…居然……败了…
MOD1.STRINGS.NAMES.XD_ZIYUNBOSS_TALKS.4.1	区区蝼蚁，也敢扰本君的清净！
MOD1.STRINGS.NAMES.XD_ZIYUNBOSS_TALKS.4.2	把你挫骨扬灰只是本君的随手之劳而已。
MOD1.STRINGS.NAMES.XD_ZIYUNBOSS_TALKS.4.3	不知天高地厚的小角色，本君甚是不喜！
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_NO.22	否
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_NO.21	否
MOD1.STRINGS.PRETRANSLATED.LANGUAGES.19	한국어 (Korean)
MOD1.STRINGS.PRETRANSLATED.LANGUAGES.22	简体中文 (Simplified Chinese)
MOD1.STRINGS.PRETRANSLATED.LANGUAGES.21	繁體中文 (Traditional Chinese)
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_BODY.19	인터페이스 언어가 한국어로 설정되어 있습니다. 해당 언어의 번역을 사용 하시겠습니까?
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_BODY.22	是否把语言设定为中文？
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_BODY.21	是否把語言設定為繁體中文？
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_TITLE.22	语言设定
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_TITLE.21	語言設定
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_YES.22	是
MOD1.STRINGS.PRETRANSLATED.LANGUAGES_YES.21	是
MOD1.STRINGS.XD_JINGWEI_FENICE_COOKTALK.1	尊上,试试这色味俱佳的佳肴。
MOD1.STRINGS.XD_JINGWEI_FENICE_COOKTALK.2	尊上,尝尝小女子的手艺如何？
MOD1.STRINGS.XD_LEVEL_SKILLSTR.6	正道魔道，皆在我的一念之间
MOD1.STRINGS.XD_LEVEL_SKILLSTR.3	我已经可以尝试唤出身外化身了
MOD1.STRINGS.XD_LEVEL_SKILLSTR.9	我的灵力足以掌驭玄天灵宝了
MOD1.STRINGS.XD_LONGZHU_SPELLSTR.1	降雨
MOD1.STRINGS.XD_LONGZHU_SPELLSTR.2	落雷
MOD1.STRINGS.XD_LONGZHU_SPELLSTR.3	冰牢
MOD1.STRINGS.XD_LONGZHU_SPELLSTR.4	冰法阵
MOD1.STRINGS.XD_LONGZHU_SPELLSTR.5	储物空间
MOD1.STRINGS.XD_LONGZHU_SPELLSTR.6	极光
MOD1.STRINGS.XD_LONGZHU_SPELLSTR.7	冰灵护体
MOD1.STRINGS.XD_LONGZHU_SPELLSTR.8	寒冰灵眼
MOD1.TUNING.XD_FB_ZHF_STR.6.9	召唤出妖王级晶体独眼巨鹿魂魄
MOD1.TUNING.XD_FB_ZHF_STR.2.7	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.2.1	猎犬魂魄攻击的距离增加0.5点
MOD1.TUNING.XD_FB_ZHF_STR.2.2	猎犬魂魄攻击的距离增加0.5点
MOD1.TUNING.XD_FB_ZHF_STR.2.4	猎犬魂魄攻击的距离增加1点
MOD1.TUNING.XD_FB_ZHF_STR.2.8	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.2.9	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.2.5	猎犬魂魄攻击的距离增加1.5点
MOD1.TUNING.XD_FB_ZHF_STR.2.3	猎犬魂魄攻击的距离增加0.5点
MOD1.TUNING.XD_FB_ZHF_STR.2.6	猎犬魂魄攻击的距离增加2点
MOD1.TUNING.XD_FB_ZHF_STR.3.7	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.3.1	猎犬魂魄每次撕咬会额外释放一个火灵技，造成16.8点伤
MOD1.TUNING.XD_FB_ZHF_STR.3.2	猎犬魂魄每次撕咬会额外释放一个火灵技，造成16.8点伤
MOD1.TUNING.XD_FB_ZHF_STR.3.4	猎犬魂魄每次撕咬会额外释放一个火灵技，造成47点伤害
MOD1.TUNING.XD_FB_ZHF_STR.3.8	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.3.9	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.3.5	猎犬魂魄每次撕咬会额外释放一个火灵技，造成62.4点伤害
MOD1.TUNING.XD_FB_ZHF_STR.3.3	猎犬魂魄每次撕咬会额外释放一个火灵技，造成16.8点伤
MOD1.TUNING.XD_FB_ZHF_STR.3.6	猎犬魂魄每次撕咬会额外释放一个火灵技，造成106.9点伤害
MOD1.TUNING.XD_FB_ZHF_STR.1.7	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.1.1	猎犬魂魄每次撕咬伤害增加28点
MOD1.TUNING.XD_FB_ZHF_STR.1.2	猎犬魂魄每次撕咬伤害增加28点
MOD1.TUNING.XD_FB_ZHF_STR.1.4	猎犬魂魄每次撕咬伤害增加42.5点
MOD1.TUNING.XD_FB_ZHF_STR.1.8	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.1.9	猎犬魂魄将成为更强大妖魂的祭品
MOD1.TUNING.XD_FB_ZHF_STR.1.5	猎犬魂魄每次撕咬伤害增加56点
MOD1.TUNING.XD_FB_ZHF_STR.1.3	猎犬魂魄每次撕咬伤害增加28点
MOD1.TUNING.XD_FB_ZHF_STR.1.6	猎犬魂魄每次撕咬伤害增加67.2点
MOD1.TUNING.XD_FB_ZHF_STR.4.6	强化额外唤出的较为孱弱的猎犬魂魄
MOD1.TUNING.XD_FB_ZHF_STR.4.7	再次强化额外唤出的较为孱弱的猎犬魂魄
MOD1.TUNING.XD_FB_ZHF_STR.4.8	再次强化额外唤出的较为孱弱的猎犬魂魄
MOD1.TUNING.XD_FB_ZHF_STR.4.5	额外唤出一只较为孱弱的猎犬魂魄
MOD1.TUNING.XD_FB_ZHF_STR.4.9	再次强化额外唤出的较为孱弱的猎犬魂魄
MOD1.TUNING.XD_FB_ZHF_STR.5.8	强化通过祭品唤出的附身座狼魂魄
MOD1.TUNING.XD_FB_ZHF_STR.5.7	通过祭品唤出附身座狼魂魄
MOD1.TUNING.XD_FB_ZHF_STR.5.9	附身座狼魂魄将成为主魂妖王的祭品
