path	original	line	comment
ACTIONFAIL.APPRAISE.NOTNOW	韩某尚有要事在身。	7	暂无注释
ACTIONFAIL.REPAIR.WRONGPIECE	此处不便安置。	11	化石骨架拼接错误
ACTIONFAIL.BUILD.MOUNTED	需另寻他处。	15	建造失败（骑乘状态）
ACTIONFAIL.BUILD.HASPET	韩某已收灵宠，不便再纳。	16	建造失败（已经有一个宠物了）
ACTIONFAIL.BUILD.TICOON	韩某眼中，唯此一物。	17	暂无注释
ACTIONFAIL.SHAVE.AWAKEBEEFALO	待其入眠，再来不迟。	21	给醒着的牛刮毛
ACTIONFAIL.SHAVE.GENERIC	此兽抗拒，剃毛未果。	22	刮牛毛失败
ACTIONFAIL.SHAVE.NOBITS	毛尽矣，无需再剃。	23	给没毛的牛刮毛
ACTIONFAIL.SHAVE.SOMEONEELSESBEEFALO	稍作试探而已。	25	暂无注释
ACTIONFAIL.STORE.GENERIC	空间已足，无法再纳。	29	存放东西失败
ACTIONFAIL.STORE.NOTALLOWED	收纳法则不容。	30	存放东西--不被允许
ACTIONFAIL.STORE.INUSE	此物暂为他用。	31	别人正在用箱子
ACTIONFAIL.STORE.NOTMASTERCHEF	韩某力有未逮。	32	暂无注释
ACTIONFAIL.CONSTRUCT.INUSE	已有修士占用。	36	建筑正在使用
ACTIONFAIL.CONSTRUCT.NOTALLOWED	非用之时。	37	建筑不允许使用
ACTIONFAIL.CONSTRUCT.EMPTY	空无一物。	38	建筑空了
ACTIONFAIL.CONSTRUCT.MISMATCH	此物非升级所需。	39	升级套件错误（目前用不到）
ACTIONFAIL.CONSTRUCT.NOTREADY	容韩某稍后再来查看。	40	暂无注释
ACTIONFAIL.RUMMAGE.GENERIC	需另寻开启之法。	44	打开箱子失败
ACTIONFAIL.RUMMAGE.INUSE	容韩某一观。	45	打开箱子 正在使用
ACTIONFAIL.RUMMAGE.NOTMASTERCHEF	此非韩某分内之事。	46	暂无注释
ACTIONFAIL.UNLOCK.WRONGKEY	非韩某能力所及。	50	暂无注释
ACTIONFAIL.USEKLAUSSACKKEY.WRONGKEY	此非正解。	54	使用克劳斯钥匙
ACTIONFAIL.USEKLAUSSACKKEY.KLAUS	眼下非谈话之机。	55	克劳斯
ACTIONFAIL.ACTIVATE.LOCKED_GATE	门户紧闭，难以通行。	59	远古钥匙
ACTIONFAIL.ACTIVATE.HOSTBUSY	其人似有要务在身。	60	暂无注释
ACTIONFAIL.ACTIVATE.CARNIVAL_HOST_HERE	神识可及之处。	61	暂无注释
ACTIONFAIL.ACTIVATE.NOCARNIVAL	观其形迹，似已远遁。	62	暂无注释
ACTIONFAIL.ACTIVATE.EMPTY_CATCOONDEN	韩某原以为内藏机缘。	63	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDERS	修真之路，从无易事。	64	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDING_SPOTS	此地视野开阔，无处藏形。	65	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_ONE_GAME_PER_DAY	今日机缘已尽，明日再续。	66	暂无注释
ACTIONFAIL.ACTIVATE.MANNEQUIN_EQUIPSWAPFAILED	灵纹不合，强穿无益。	67	暂无注释
ACTIONFAIL.ACTIVATE.PILLOWFIGHT_NO_HANDPILLOW	韩某需一战以证修为！	68	暂无注释
ACTIONFAIL.OPEN_CRAFTING.PROFESSIONALCHEF	厨艺一道，尚需磨炼。	72	暂无注释
ACTIONFAIL.OPEN_CRAFTING.SHADOWMAGIC	如此行事，后患无穷。	73	暂无注释
ACTIONFAIL.COOK.GENERIC	庖厨之事，容后再议。	77	做饭失败
ACTIONFAIL.COOK.INUSE	灶台已为他用，不便打扰。	78	做饭失败-别人在用锅
ACTIONFAIL.COOK.TOOFAR	此距不利火候掌控！	79	做饭失败-太远
ACTIONFAIL.START_CARRAT_RACE.NO_RACERS	韩某似有疏漏。	83	暂无注释
ACTIONFAIL.DISMANTLE.COOKING	火候未到，不可轻举。	87	暂无注释
ACTIONFAIL.DISMANTLE.INUSE	此番当由韩某出手。	88	暂无注释
ACTIONFAIL.DISMANTLE.NOTEMPTY	韩某需先清空此物。	89	暂无注释
ACTIONFAIL.FISH_OCEAN.TOODEEP	非深海钓具，不宜下钩。	93	暂无注释
ACTIONFAIL.OCEAN_FISHING_POND.WRONGGEAR	此竿非池钓之器。	97	暂无注释
ACTIONFAIL.GIVE.GENERIC	此物且收下。	117	给予失败
ACTIONFAIL.GIVE.DEAD	暂且由韩某保管。	118	给予 -目标死亡
ACTIONFAIL.GIVE.SLEEPING	道友好眠。	119	给予--目标睡觉
ACTIONFAIL.GIVE.BUSY	容韩某再试。	120	给予--目标正忙
ACTIONFAIL.GIVE.ABIGAILHEART	阴司之物，难堪大用。	121	给阿比盖尔 救赎之心
ACTIONFAIL.GIVE.GHOSTHEART	待取轮回簿来。	122	给鬼魂 救赎之心
ACTIONFAIL.GIVE.NOTGEM	此物非韩某所长。	123	给的不是宝石
ACTIONFAIL.GIVE.WRONGGEM	此宝不合此处之用。	124	给错了宝石
ACTIONFAIL.GIVE.NOTSTAFF	形制有误。	125	给月石祭坛的物品不是法杖
ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSSHROOM	需以菌种为引。	126	蘑菇农场需要蘑菇
ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSLOG	当取活木为基。	127	蘑菇农场需要活木
ACTIONFAIL.GIVE.MUSHROOMFARM_NOMOONALLOWED	此菌不宜栽种。	128	暂无注释
ACTIONFAIL.GIVE.SLOTFULL	需再添置材料。	129	已经放了材料后，再给雕像桌子再给一个材料
ACTIONFAIL.GIVE.FOODFULL	餐食已备。	130	没调用
ACTIONFAIL.GIVE.NOTDISH	非其所需之食。	131	没调用
ACTIONFAIL.GIVE.DUPLICATE	此图韩某已谙熟。	132	给雕像桌子已经学习过的图纸
ACTIONFAIL.GIVE.NOTSCULPTABLE	此物难成雕像。	133	给陶艺圆盘的东西不对
ACTIONFAIL.GIVE.NOTATRIUMKEY	形制不符。	134	中庭钥匙不对
ACTIONFAIL.GIVE.CANTSHADOWREVIVE	复生中。	135	中庭仍在CD
ACTIONFAIL.GIVE.WRONGSHADOWFORM	组装有误。	136	没调用
ACTIONFAIL.GIVE.NOMOON	需借月华之力。	137	洞穴里建造月石科技
ACTIONFAIL.GIVE.PIGKINGGAME_MESSY	需先净此地方可。	138	猪王旁边有建筑，不能开始抢元宝
ACTIONFAIL.GIVE.PIGKINGGAME_DANGER	危机四伏，当慎行之。	139	危险，不能开始抢元宝
ACTIONFAIL.GIVE.PIGKINGGAME_TOOLATE	天时已过。	140	不是白天，不能开始抢元宝
ACTIONFAIL.GIVE.CARNIVALGAME_INVALID_ITEM	需备些通货之物。	141	暂无注释
ACTIONFAIL.GIVE.CARNIVALGAME_ALREADY_PLAYING	局已开，不可再入。	142	暂无注释
ACTIONFAIL.GIVE.SPIDERNOHAT	韩某的储物袋已无余隙。	143	暂无注释
ACTIONFAIL.GIVE.TERRARIUM_REFUSE	韩某另寻他法一试。	144	暂无注释
ACTIONFAIL.GIVE.TERRARIUM_COOLDOWN	灵木未苏，不可强求。	145	暂无注释
ACTIONFAIL.GIVE.NOTAMONKEY	与灵猿交流，尚可为之。	146	暂无注释
ACTIONFAIL.GIVE.QUEENBUSY	此时不宜打扰。	147	暂无注释
ACTIONFAIL.GIVETOPLAYER.FULL	道友的乾坤袋已无余隙！	151	给玩家一个东西 -但是背包满了
ACTIONFAIL.GIVETOPLAYER.DEAD	道友身陨，此物暂由韩某保管。	152	给死亡的玩家一个东西
ACTIONFAIL.GIVETOPLAYER.SLEEPING	道友入定未醒，此物暂置一旁。	153	给睡觉的玩家一个东西
ACTIONFAIL.GIVETOPLAYER.BUSY	道友正忙，此物暂存。	154	给忙碌的玩家一个东西
ACTIONFAIL.GIVEALLTOPLAYER.FULL	道友的乾坤袋已无余隙！	158	给人一组东西 但是背包满了
ACTIONFAIL.GIVEALLTOPLAYER.DEAD	道友身陨，此物暂由韩某保管。	159	给于死去的玩家一组物品
ACTIONFAIL.GIVEALLTOPLAYER.SLEEPING	道友入定未醒，此物暂置一旁。	160	给于正在睡觉的玩家一组物品
ACTIONFAIL.GIVEALLTOPLAYER.BUSY	道友正忙，此物暂存。	161	给于正在忙碌的玩家一组物品
ACTIONFAIL.WRITE.GENERIC	此物维持现状即可。	165	鞋子失败
ACTIONFAIL.WRITE.INUSE	容韩某一观。	166	写字 正在使用中
ACTIONFAIL.DRAW.NOIMAGE	韩某不擅丹青之道。	170	画图缺乏图像
ACTIONFAIL.CHANGEIN.GENERIC	衣甲未可轻换。	174	换装失败 
ACTIONFAIL.CHANGEIN.BURNING	火噬八方，岂能更装！	175	换装失败-着火了
ACTIONFAIL.CHANGEIN.INUSE	更衣之处已有道友使用。	176	衣橱有人占用
ACTIONFAIL.CHANGEIN.NOTENOUGHHAIR	皮毛不够用来装扮。	177	暂无注释
ACTIONFAIL.CHANGEIN.NOOCCUPANT	兽材短缺，难以施为。	178	暂无注释
ACTIONFAIL.ATTUNE.NOHEALTH	气血亏损，难塑肉身。	182	制造肉雕像血量不足
ACTIONFAIL.MOUNT.TARGETINCOMBAT	灵兽搏杀中，不宜乘骑！	186	骑乘，牛正在战斗
ACTIONFAIL.MOUNT.INUSE	坐骑不为韩某所用！	187	骑乘（牛被占据）
ACTIONFAIL.MOUNT.SLEEPING	周天运转当毕！	188	暂无注释
ACTIONFAIL.SADDLE.TARGETINCOMBAT	灵兽战意正盛，难以上鞍。	192	给战斗状态的牛上鞍
ACTIONFAIL.TEACH.KNOWN	此图韩某已谙熟于心。	196	学习已经知道的蓝图
ACTIONFAIL.TEACH.CANTLEARN	此图玄奥，韩某难以参悟。	197	学习无法学习的蓝图
ACTIONFAIL.TEACH.WRONGWORLD	异界舆图，与此界不合。	198	学习另外一个世界的地图
ACTIONFAIL.TEACH.MESSAGEBOTTLEMANAGER_NOT_FOUND	晦暗难辨，目不能视！	199	Likely trying to read messagebottle treasure map in caves  --暂无注释
ACTIONFAIL.TEACH.STASH_MAP_NOT_FOUND	前人制图，恐有疏漏。	200	Likely trying to read stash map  in world without stash                    --暂无注释
