path	original	line	comment
ACTIONFAIL.APPRAISE.NOTNOW	放肆！本座此刻无暇理会你这蝼蚁。	7	暂无注释
ACTIONFAIL.REPAIR.WRONGPIECE	哼，区区凡物也敢乱我法阵？	11	化石骨架拼接错误
ACTIONFAIL.BUILD.MOUNTED	本座法驾在此，岂容你僭越！	15	建造失败（骑乘状态）
ACTIONFAIL.BUILD.HASPET	一只孽畜已够烦心，休得再添乱！	16	建造失败（已经有一个宠物了）
ACTIONFAIL.BUILD.TICOON	此物不入本座法眼，滚开！	17	暂无注释
ACTIONFAIL.SHAVE.AWAKEBEEFALO	孽畜未眠，也配让本座动手？	21	给醒着的牛刮毛
ACTIONFAIL.SHAVE.GENERIC	区区畜生，也敢对本座龇牙？	22	刮牛毛失败
ACTIONFAIL.SHAVE.NOBITS	哼，连根毛都不剩的废物！	23	给没毛的牛刮毛
ACTIONFAIL.SHAVE.REFUSE	此术非尔等凡夫可染指！	24	暂无注释
ACTIONFAIL.SHAVE.SOMEONEELSESBEEFALO	这孽畜认主？待本座灭了它的神魂！	25	暂无注释
ACTIONFAIL.STORE.GENERIC	区区凡物，也配入我法囊？	29	存放东西失败
ACTIONFAIL.STORE.NOTALLOWED	放肆！此等污秽之物岂能亵渎本座宝器！	30	存放东西--不被允许
ACTIONFAIL.STORE.INUSE	哼，哪个不长眼的敢占本座之物？	31	别人正在用箱子
ACTIONFAIL.STORE.NOTMASTERCHEF	低劣伎俩，本座不屑为之。	32	暂无注释
ACTIONFAIL.CONSTRUCT.INUSE	大胆！何人敢擅动本座之物？速速退下！	36	建筑正在使用
ACTIONFAIL.CONSTRUCT.NOTALLOWED	哼！区区蝼蚁也配染指本座道场？	37	建筑不允许使用
ACTIONFAIL.CONSTRUCT.EMPTY	竟敢盗取本座宝物？找死！	38	建筑空了
ACTIONFAIL.CONSTRUCT.MISMATCH	荒谬！此等劣质材料也敢用来祭炼？	39	升级套件错误（目前用不到）
ACTIONFAIL.CONSTRUCT.NOTREADY	时辰未到...待本座再施秘法。	40	暂无注释
ACTIONFAIL.RUMMAGE.GENERIC	哼！此等卑劣之物也配让本座亲启？	44	打开箱子失败
ACTIONFAIL.RUMMAGE.INUSE	大胆！何人敢擅动本座宝匣？	45	打开箱子 正在使用
ACTIONFAIL.RUMMAGE.NOTMASTERCHEF	区区庖厨之事，也配劳动本座金枝玉手？	46	暂无注释
ACTIONFAIL.UNLOCK.WRONGKEY	放肆！此等劣等符印也妄想开启本座秘宝？	50	暂无注释
ACTIONFAIL.USEKLAUSSACKKEY.WRONGKEY	大胆！此等凡铁也妄想开启本座封印？	54	使用克劳斯钥匙
ACTIONFAIL.USEKLAUSSACKKEY.KLAUS	区区西方蛮神，也配让本座分神？	55	克劳斯
ACTIONFAIL.ACTIVATE.LOCKED_GATE	区区凡锁也敢阻挡本座？待本座破了这禁制！	59	远古钥匙
ACTIONFAIL.ACTIVATE.HOSTBUSY	哼！竟敢让本座等候？	60	暂无注释
ACTIONFAIL.ACTIVATE.CARNIVAL_HOST_HERE	那蝼蚁就在附近...	61	暂无注释
ACTIONFAIL.ACTIVATE.NOCARNIVAL	一群鼠辈，逃得倒快！	62	暂无注释
ACTIONFAIL.ACTIVATE.EMPTY_CATCOONDEN	竟敢盗取本座宝物？！	63	暂无注释
