path	original	line	comment
ACTIONFAIL.APPRAISE.NOTNOW	聒噪！王某此刻无暇分心。	7	暂无注释
ACTIONFAIL.REPAIR.WRONGPIECE	荒谬！此物与阵法格格不入。	11	化石骨架拼接错误
ACTIONFAIL.BUILD.MOUNTED	待我下了坐骑再行事。	15	建造失败（骑乘状态）
ACTIONFAIL.BUILD.HASPET	已有灵兽相伴，不必再多。	16	建造失败（已经有一个宠物了）
ACTIONFAIL.BUILD.TICOON	此等凡物，不入王某法眼。	17	暂无注释
ACTIONFAIL.SHAVE.AWAKEBEEFALO	待其沉睡再动手不迟。	21	给醒着的牛刮毛
ACTIONFAIL.SHAVE.GENERIC	此兽野性未驯，还需等待时机。	22	刮牛毛失败
ACTIONFAIL.SHAVE.NOBITS	已无毛可刮，不必白费功夫。	23	给没毛的牛刮毛
ACTIONFAIL.SHAVE.REFUSE	此术非你所能承受。	24	暂无注释
ACTIONFAIL.SHAVE.SOMEONEELSESBEEFALO	此兽已有主，强取无益。	25	暂无注释
ACTIONFAIL.STORE.GENERIC	此物不入我眼。	29	存放东西失败
ACTIONFAIL.STORE.NOTALLOWED	此物与储物法器相斥。	30	存放东西--不被允许
ACTIONFAIL.STORE.INUSE	有人正在使用，稍后再来。	31	别人正在用箱子
ACTIONFAIL.STORE.NOTMASTERCHEF	厨艺之道，非我所长。	32	暂无注释
ACTIONFAIL.CONSTRUCT.INUSE	有人正在使用，且待片刻。	36	建筑正在使用
ACTIONFAIL.CONSTRUCT.NOTALLOWED	此地不宜建造。	37	建筑不允许使用
ACTIONFAIL.CONSTRUCT.EMPTY	材料不足，还需搜集。	38	建筑空了
ACTIONFAIL.CONSTRUCT.MISMATCH	材料不符，需另寻他物。	39	升级套件错误（目前用不到）
ACTIONFAIL.CONSTRUCT.NOTREADY	时机未到，还需准备。	40	暂无注释
ACTIONFAIL.RUMMAGE.GENERIC	此物无需查看。	44	打开箱子失败
ACTIONFAIL.RUMMAGE.INUSE	有人正在使用，稍候片刻。	45	打开箱子 正在使用
ACTIONFAIL.RUMMAGE.NOTMASTERCHEF	厨艺非我所长。	46	暂无注释
ACTIONFAIL.UNLOCK.WRONGKEY	钥匙不对，需另寻他法。	50	暂无注释
ACTIONFAIL.USEKLAUSSACKKEY.WRONGKEY	此钥非此锁所用。	54	使用克劳斯钥匙
ACTIONFAIL.USEKLAUSSACKKEY.KLAUS	强敌当前，需谨慎应对。	55	克劳斯
ACTIONFAIL.ACTIVATE.LOCKED_GATE	需寻得对应钥匙方可开启。	59	远古钥匙
ACTIONFAIL.ACTIVATE.HOSTBUSY	对方无暇回应，且等待片刻。	60	暂无注释
ACTIONFAIL.ACTIVATE.CARNIVAL_HOST_HERE	目标就在附近...	61	暂无注释
ACTIONFAIL.ACTIVATE.NOCARNIVAL	人已散去，来迟一步。	62	暂无注释
ACTIONFAIL.ACTIVATE.EMPTY_CATCOONDEN	巢穴已空，毫无收获。	63	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDERS	数量不足，游戏无法进行。	64	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_NOT_ENOUGH_HIDING_SPOTS	藏身之处太过稀少。	65	暂无注释
ACTIONFAIL.ACTIVATE.KITCOON_HIDEANDSEEK_ONE_GAME_PER_DAY	今日已尽兴，明日再来。	66	暂无注释
ACTIONFAIL.ACTIVATE.MANNEQUIN_EQUIPSWAPFAILED	人偶无法装备此物。	67	暂无注释
ACTIONFAIL.ACTIVATE.PILLOWFIGHT_NO_HANDPILLOW	手中无枕，如何参与？	68	暂无注释
ACTIONFAIL.OPEN_CRAFTING.PROFESSIONALCHEF	灶火之技，何足道哉。	72	暂无注释
ACTIONFAIL.OPEN_CRAFTING.SHADOWMAGIC	鬼蜮伎俩，也敢献丑。	73	暂无注释
ACTIONFAIL.COOK.GENERIC	凡俗炊爨，徒耗光阴。	77	做饭失败
ACTIONFAIL.COOK.INUSE	炉鼎有主，退下。	78	做饭失败-别人在用锅
ACTIONFAIL.COOK.TOOFAR	此等距离，神念亦可及。	79	做饭失败-太远
ACTIONFAIL.START_CARRAT_RACE.NO_RACERS	既无胆魄，何谈机缘。	83	暂无注释
ACTIONFAIL.DISMANTLE.COOKING	真火未熄，擅动者伤。	87	暂无注释
ACTIONFAIL.DISMANTLE.INUSE	先来后到，此乃规矩。	88	暂无注释
ACTIONFAIL.DISMANTLE.NOTEMPTY	杂芜并存，徒损灵机。	89	暂无注释
ACTIONFAIL.FISH_OCEAN.TOODEEP	水不在深，有龙则灵。	93	暂无注释
ACTIONFAIL.OCEAN_FISHING_POND.WRONGGEAR	杀鸡焉用牛刀。	97	暂无注释
ACTIONFAIL.GIVE.GENERIC	此物，与你无用。	117	给予失败
ACTIONFAIL.GIVE.DEAD	神魂已散，授之无益。	118	给予 -目标死亡
ACTIONFAIL.GIVE.SLEEPING	入定之时，不宜打扰。	119	给予--目标睡觉
ACTIONFAIL.GIVE.BUSY	待你事了，再议不迟。	120	给予--目标正忙
ACTIONFAIL.GIVE.ABIGAILHEART	残魂执念，何苦强留人间。	121	给阿比盖尔 救赎之心
ACTIONFAIL.GIVE.GHOSTHEART	阴魂不散，不如重入轮回。	122	给鬼魂 救赎之心
ACTIONFAIL.GIVE.NOTGEM	凡石顽砾，岂是灵材。	123	给的不是宝石
ACTIONFAIL.GIVE.WRONGGEM	属性相克，不可妄用。	124	给错了宝石
ACTIONFAIL.GIVE.NOTSTAFF	此非阵眼所需之物。	125	给月石祭坛的物品不是法杖
ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSSHROOM	此阵，尚缺一味菌引。	126	蘑菇农场需要蘑菇
ACTIONFAIL.GIVE.MUSHROOMFARM_NEEDSLOG	需以至阴灵木为基。	127	蘑菇农场需要活木
ACTIONFAIL.GIVE.MUSHROOMFARM_NOMOONALLOWED	月华过盛，反损菌灵。	128	暂无注释
ACTIONFAIL.GIVE.SLOTFULL	阵眼已足，不可再添。	129	已经放了材料后，再给雕像桌子再给一个材料
ACTIONFAIL.GIVE.FOODFULL	腹蕴未消，纳新徒劳。	130	没调用
ACTIONFAIL.GIVE.NOTDISH	浊气太重，不堪入腹。	131	没调用
ACTIONFAIL.GIVE.DUPLICATE	此卷功法，早已参透。	132	给雕像桌子已经学习过的图纸
ACTIONFAIL.GIVE.NOTSCULPTABLE	材质凡劣，难承道韵。	133	给陶艺圆盘的东西不对
ACTIONFAIL.GIVE.NOTATRIUMKEY	符文有谬，非启阵之钥。	134	中庭钥匙不对
ACTIONFAIL.GIVE.CANTSHADOWREVIVE	阵法未复，强启无益。	135	中庭仍在CD
ACTIONFAIL.GIVE.WRONGSHADOWFORM	形骸有误，魂难附体。	136	没调用
ACTIONFAIL.GIVE.NOMOON	此地不见太阴，阵法难成。	137	洞穴里建造月石科技
