[00:01:31]: [Myth-Viet-Scanner] ===== BẮT ĐẦU SCAN =====	
[00:01:32]: [Myth-Viet-Scanner] ----- CHINESE (6281) -----	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MINISIGN.UNDRAWN = 妾身应该在那上面画些东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.POTATO_SEEDS = 一把古怪的种子。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WURT.ATTACKER = %s今天一副凶神恶煞的样子……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MK_JGB = 休打奴家。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MONKEY_KING.DESCRIBE.MYTH_FOOD_TR = 俺看着好生眼熟	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.HALLOWEENPOTION_FIRE_FX = 烈火结晶。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.NIAN_MOUNT = 罢了，饶你一命	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WALTER.FIRESTARTER = 那个看起来可不像是营火，%s。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_NOWARDROBEONFIRE = 它着火了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.COOKPOT.DONE = 嗯！可以吃了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MUTATED_PENGUIN.GENERIC = 你该长眠！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MYTH_IRON_BATTLEGEAR = 朔气传金柝，寒光照铁衣	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.FIREPIT.NORMAL = 妾身可不能考的太近。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.YANGJIAN_BUZZARD = 那杨二郎定在附近，速速遁去	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TILLWEED = 你给妾身滚出妾身的园子！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.SADDLE.TARGETINCOMBAT = 现在不是时候。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.FENCE_GATE_ITEM = 有了它就能造出一个美丽牢固的大门。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TROPHYSCALE_FISH.BURNT = 妾身所有吹嘘的资本全都给烧没了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.PIGSY = 要来碗素斋吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.TELEPORTATO_BOX = 这可能控制着整个宇宙的极性。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MYTH_INTERIORS_GHG_HE_RIGHT = 妾身可看得出你的真身	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.FOLIAGE = 一些多叶植物。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WAGSTAFF_TOOL_1 = 那正是妾身苦苦寻找的工具！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MYTH_INTERIORS_BED = 不如让我躺在嶙峋白骨上休息一会	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.CAMPFIRE.EMBERS = 得加燃料了，不然火就要灭了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.NEZA.DESCRIBE.MYTH_YJP = 我真是得了泼天的造化	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.SPIDERHAT = 愚笨之人所织造。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.PIGELITEFIGHTER4 = 难道你不想打其他人吗？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.HUA_INTERNET_NODE_SEA = 此物倒是便捷	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MOLE.UNDERGROUND = 下面有个正在寻找矿物的家伙。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.MYTH_IRON_BATTLEGEAR = 朔气传金柝，寒光照铁衣	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BLOWDART_YELLOW = 妾身的毒针要更好用。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.BLOODTHIRSTY_PILL = 我非常乐意品尝你的鲜血。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_ATRIUM_DESTABILIZING.1 = 妾身该走了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MUTATEDHOUND.DEAD = 不过尔尔。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_POCKETWATCH_PORTAL = 没有人告诉妾身时间旅行完这么痛苦……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.REEDS.BURNING = 烧的真旺！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MYTH_CASH_TREE = 仙宝的雏形	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ENDTABLE.GENERIC = 桌上花瓶里的一朵花。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.DEVTOOL_NODEV = 妾身可以采下来做点东西。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_TORCH_OUT = 火消逝了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.ABIGAIL.LEVEL1.2 = 噢，她有一个可爱的小蝴蝶结。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.BONE_WHIP = 鞭响四野起风云，斥敌完肤血淋漓	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.FRUITMEDLEY = 果香扑鼻。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MYTH_YUTU.DESCRIBE.BONE_WAND = 邪魔歪道罢了	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.QUAGMIRE_SUGARWOODTREE.TAPPED_EMPTY = 丰富的汁液。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ACTIONFAIL.TEACH.CANTLEARN = 妾身无法学习那个。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.MOSQUITO.GENERIC = 讨厌的小吸血鬼。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.FLY_PILL = 飞腾之术，小道尔尔。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BEEF_BELL = 它会让皮弗娄牛变得友好。我相信科学对此一定有解释。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BIRDCAGE.GENERIC = 笼中雀，该抓谁好呢。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BIRD_MUTANT_SPITTER = 妾身不喜欢它盯着妾身的眼神……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MOON_CAP_COOKED = 更糟糕了……	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WILLOW.DESCRIBE.MYTH_INTERIORS_GHG_LIGHT = 杯盘灯盏，皆非凡物	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_DETACH_BUFF_MOISTUREIMMUNITY = 妾身又不想干活了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ACTIONFAIL.GIVE.GHOSTHEART = 或许，该把你送走了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.BRUSH = 皮弗娄牛肯定很喜欢这个。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_OCEANFISHING_LINESNAP = 应该用妾身编织的丝线。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_DAMP = 我不喜欢湿漉漉的感觉。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.CASSOCK = 和尚的破玩意。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ACTIONFAIL.HITCHUP.BEEF_HITCHED = 我的皮弗娄牛已经拴好了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BULLKELP_PLANT.GENERIC = 不赖嘛，咸咸的海带。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.NEZA.DESCRIBE.LAOZI_SP = 哼！你难道想用这个封印我？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.NEZA.DESCRIBE.MYTH_FOOD_BBF = 甜而不腻，多有裨益	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.FIREBALLSTAFF = 召唤流星从天而降。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.ONION_OVERSIZED = 它们这么快就长这么大了！不禁让我的眼眶都湿了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.MYTH_COIN = 凡尘烟火，愿力加持	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.RESEARCHLAB3.BURNT = 不管它原来是什么，现在已经烧掉了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.TRINKET_46 = 也许是测试空气动力学的工具？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_REPELLED = 它有保护！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_RUINS_RESET = 轮回又开始了！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YANGJIAN.DESCRIBE.NZ_LANCE = 锋锐的刀锋	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_BOAT_LEAK = 水越来越多了。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.PIGSY.DESCRIBE.MYTH_FENCE_ITEM = 屏风之后，白骨生肉，轻披画皮，美人出户	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.ANNOUNCE_SNARED = 困于骨！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.BLUE_MUSHROOM.GENERIC = 是蘑菇。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.WURT.MURDERER = 妾身认识的鱼精都比你漂亮！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.YAMA_COMMISSIONERS.DESCRIBE.CRITTER_LUNARMOTHLING = 留着她是因为她对飞蛾学有价值。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.ANNOUNCE_SNARED_IVY = 啊！好疼！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.WHITE_BONE.DESCRIBE.MYTH_TOY_FEATHERBUNDLE = 忆我当年事，翻弄脚尖花！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MONKEY_KING.DESCRIBE.THORNS_PILL = 嘿嘿嘿跟俺老孙比比谁更扎人？	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.LAVAE_PET.STARVING = 可怜的东西一定很饿。	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.MINIBOATLANTERN = 真亮！	
[00:01:32]: [Myth-Viet-Scanner] CN | STRINGS.CHARACTERS.MADAMEWEB.DESCRIBE.RELIC = 远古家居用品。	
